Name,OBJECTID,LEVEL_,DISTRICT,ADDRESS,CITY,ZIP,TYPE,DESCRIPT,SHAPE_Leng,SHAPE_Area,geometry
Fairview Elementary School,11,Primary,Fairfield-Suisun Unified,830 First St.,Fairfield,94533,Regular School,Public,2533.67942853000,401746.61675200000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.050274,38.252389 -122.050063,38.252385 -122.050078,38.250705 -122.050318,38.250705 -122.050538,38.250703 -122.050738,38.250703 -122.050991,38.250703 -122.051216,38.250702 -122.051429,38.250702 -122.051654,38.250703 -122.051874,38.250703 -122.052095,38.250704 -122.052353,38.250706 -122.052347,38.252387 -122.052075,38.252386 -122.05188,38.252389 -122.051673,38.252388 -122.051464,38.252387 -122.051266,38.252386 -122.051059,38.252389 -122.05085,38.252391 -122.050611,38.252391 -122.050274,38.252389</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Grange Middle School,12,Middle,Fairfield-Suisun Unified,1975 Blossom Ave.,Fairfield,94533,Regular School,Public,3571.43335461000,802102.65518100001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.014912,38.263505 -122.014922,38.262819 -122.016423,38.262834 -122.016523,38.262835 -122.016848,38.262841 -122.017384,38.262854 -122.018243,38.262892 -122.018186,38.265214 -122.016466,38.265182 -122.016249,38.26518 -122.015048,38.265161 -122.015041,38.26516 -122.015034,38.265159 -122.015027,38.265157 -122.01502,38.265155 -122.015013,38.265152 -122.015006,38.265149 -122.015,38.265145 -122.014996,38.265143 -122.014993,38.26514 -122.014989,38.265137 -122.014986,38.265133 -122.01498,38.265129 -122.014977,38.265124 -122.014973,38.265118 -122.01497,38.265113 -122.014968,38.265107 -122.014966,38.265104 -122.014961,38.265095 -122.014957,38.265086 -122.014953,38.265062 -122.014937,38.264795 -122.014942,38.264113 -122.014984,38.264019 -122.014938,38.263559 -122.014912,38.263505</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Dan O. Root II Elementary School,13,Primary,Fairfield-Suisun Unified,820 Harrier Dr.,Suisun City,94585,Regular School,Public,2134.63099341000,287689.61910299998,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.99604,38.250927 -121.995837,38.250916 -121.995602,38.250904 -121.995365,38.250894 -121.995157,38.250888 -121.995152,38.250891 -121.995147,38.250894 -121.995147,38.250887 -121.995148,38.250882 -121.99515,38.250877 -121.99515,38.250871 -121.99515,38.250866 -121.995181,38.2504 -121.995179,38.250395 -121.995176,38.250391 -121.995172,38.250387 -121.995169,38.250383 -121.995162,38.250379 -121.995161,38.250311 -121.995161,38.250188 -121.995162,38.250077 -121.995154,38.249951 -121.995144,38.249822 -121.995135,38.249713 -121.995115,38.249559 -121.995094,38.249433 -121.995699,38.249413 -121.996972,38.249443 -121.996988,38.249499 -121.99701,38.249665 -121.997029,38.24984 -121.997016,38.250026 -121.997019,38.250194 -121.997017,38.250371 -121.997021,38.250563 -121.997022,38.250721 -121.997019,38.250863 -121.99674,38.250871 -121.996464,38.250905 -121.99626,38.250935 -121.99604,38.250927</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Nelda Mundy Elementary School,14,Primary,Fairfield-Suisun Unified,570 Vintage Valley Dr,Fairfield,94534,Regular School,Public,2234.29857992000,306680.99888899998,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.144638,38.21921 -122.144647,38.218516 -122.145041,38.218183 -122.146414,38.217308 -122.146433,38.217323 -122.146693,38.217565 -122.146689,38.217592 -122.146694,38.217622 -122.146703,38.217648 -122.14672,38.217674 -122.146746,38.217696 -122.146769,38.217721 -122.146814,38.217785 -122.146859,38.217847 -122.146996,38.218035 -122.1471,38.218179 -122.145958,38.219364 -122.145872,38.219337 -122.145844,38.219327 -122.145815,38.219318 -122.145785,38.219309 -122.145754,38.2193 -122.145724,38.219292 -122.145694,38.219284 -122.145663,38.219277 -122.145634,38.21927 -122.145602,38.219264 -122.145571,38.219258 -122.145539,38.219252 -122.14551,38.219247 -122.145479,38.219242 -122.145447,38.219238 -122.145416,38.219234 -122.145383,38.21923 -122.145351,38.219227 -122.14532,38.219225 -122.145289,38.219222 -122.145258,38.21922 -122.145224,38.219219 -122.145193,38.219218 -122.145162,38.219218 -122.145129,38.219218 -122.145097,38.219218 -122.145066,38.219219 -122.145033,38.21922 -122.144981,38.219222 -122.14493,38.219222 -122.144878,38.219222 -122.144826,38.21922 -122.144774,38.219219 -122.144721,38.219216 -122.144671,38.219213 -122.144638,38.21921</coordinates></LinearRing></outerBoundaryIs></Polygon>"
K. I. Jones Elementary School,15,Primary,Fairfield-Suisun Unified,2001 Winston Dr.,Fairfield,94533,Regular School,Public,2666.04920970000,431334.00203500001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.061608,38.268383 -122.061334,38.268382 -122.061109,38.268381 -122.060887,38.268379 -122.060588,38.268382 -122.060142,38.268381 -122.059912,38.26838 -122.059916,38.268275 -122.059581,38.26827 -122.059589,38.266856 -122.059919,38.266859 -122.05992,38.266745 -122.060146,38.266747 -122.06036,38.266749 -122.060578,38.266749 -122.06078,38.26675 -122.060985,38.266751 -122.061189,38.266752 -122.061394,38.266753 -122.061605,38.26675 -122.061814,38.266751 -122.062023,38.266753 -122.062163,38.266753 -122.062152,38.268383 -122.061871,38.268384 -122.061608,38.268383</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Suisun Elementary School,16,Primary,Fairfield-Suisun Unified,725 Golden Eye Way,Suisun City,94585,Regular School,Public,2250.54781588000,321493.63472400000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.010337,38.249284 -122.010336,38.248852 -122.01038,38.247789 -122.010463,38.24779 -122.010681,38.247793 -122.010897,38.247797 -122.011111,38.247803 -122.011333,38.247807 -122.011548,38.247808 -122.011769,38.247814 -122.011987,38.247818 -122.012208,38.247827 -122.012434,38.247839 -122.01243,38.247885 -122.012428,38.247909 -122.012389,38.249233 -122.012389,38.249238 -122.012389,38.249244 -122.012389,38.249248 -122.012387,38.249253 -122.012385,38.249257 -122.012383,38.249262 -122.012382,38.249267 -122.012378,38.249272 -122.012368,38.249283 -122.012364,38.249288 -122.012359,38.249292 -122.012356,38.249296 -122.01235,38.2493 -122.012343,38.249304 -122.012336,38.249308 -122.012329,38.249311 -122.012323,38.249314 -122.012316,38.249316 -122.012309,38.249318 -122.012302,38.249319 -122.012295,38.249319 -122.012288,38.24932 -122.012281,38.24932 -122.010337,38.249284</coordinates></LinearRing></outerBoundaryIs></Polygon>"
B. Gale Wilson Elementary School,17,Primary,Fairfield-Suisun Unified,3301 Cherry Hills Court,Fairfield,94534,Regular School,Public,3184.77522975000,475067.16076499998,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.081125,38.272445 -122.081116,38.272444 -122.081109,38.272444 -122.0811,38.272443 -122.081093,38.272443 -122.081085,38.272442 -122.081078,38.272442 -122.081069,38.27244 -122.081062,38.27244 -122.081055,38.272439 -122.081046,38.272437 -122.08104,38.272436 -122.081033,38.272435 -122.081024,38.272433 -122.081017,38.272431 -122.08101,38.27243 -122.081001,38.272428 -122.080994,38.272426 -122.080987,38.272424 -122.080981,38.272422 -122.080972,38.27242 -122.080965,38.272417 -122.080958,38.272415 -122.080951,38.272412 -122.080944,38.272409 -122.080937,38.272407 -122.08093,38.272404 -122.080923,38.272401 -122.080916,38.272398 -122.080901,38.272391 -122.08081,38.272345 -122.080741,38.272294 -122.080747,38.272292 -122.080754,38.27229 -122.080761,38.272287 -122.08077,38.272282 -122.080777,38.272277 -122.080784,38.272273 -122.080818,38.272244 -122.080836,38.272209 -122.08084,38.272156 -122.080832,38.272121 -122.080796,38.272082 -122.080746,38.27205 -122.080464,38.271909 -122.080222,38.271793 -122.08007,38.271742 -122.079973,38.271718 -122.07989,38.271708 -122.079804,38.271701 -122.079721,38.271696 -122.079683,38.271692 -122.079569,38.271669 -122.07952,38.271656 -122.079472,38.271637 -122.079443,38.271622 -122.079421,38.271604 -122.07941,38.271587 -122.079403,38.271562 -122.079407,38.271536 -122.079421,38.271508 -122.079484,38.271403 -122.079554,38.271279 -122.079616,38.271162 -122.07967,38.271042 -122.079719,38.270908 -122.080384,38.271108 -122.08039,38.271105 -122.080398,38.2711 -122.080404,38.271098 -122.080412,38.271093 -122.080417,38.271091 -122.080426,38.271086 -122.080431,38.271084 -122.080437,38.271083 -122.080445,38.271079 -122.080451,38.271077 -122.080456,38.271075 -122.080461,38.271074 -122.080466,38.271072 -122.080471,38.271071 -122.080477,38.271069 -122.080482,38.271068 -122.080487,38.271067 -122.080492,38.271065 -122.080498,38.271064 -122.080503,38.271063 -122.080508,38.271062 -122.080513,38.271062 -122.080518,38.271061 -122.080524,38.27106 -122.080529,38.271059 -122.080534,38.271059 -122.080539,38.271058 -122.080546,38.271058 -122.080552,38.271057 -122.080557,38.271057 -122.080562,38.271057 -122.080567,38.271057 -122.080572,38.271057 -122.080578,38.271056 -122.080583,38.271056 -122.08059,38.271057 -122.080595,38.271057 -122.0806,38.271057 -122.080606,38.271058 -122.080611,38.271058 -122.080616,38.271059 -122.080621,38.271059 -122.080626,38.27106 -122.080633,38.271061 -122.080639,38.271062 -122.080644,38.271062 -122.080651,38.271064 -122.081072,38.271152 -122.081573,38.270444 -122.082002,38.270531 -122.082202,38.270551 -122.082993,38.270737 -122.083085,38.272224 -122.082453,38.272199 -122.081803,38.272257 -122.081729,38.272251 -122.081664,38.272253 -122.0816,38.272262 -122.081546,38.272279 -122.081506,38.2723 -122.081472,38.272328 -122.081443,38.27235 -122.081438,38.272354 -122.081431,38.272358 -122.081426,38.272362 -122.08142,38.272366 -122.081413,38.27237 -122.081408,38.272374 -122.081401,38.272377 -122.081394,38.272381 -122.081389,38.272384 -122.081382,38.272388 -122.081375,38.272391 -122.081369,38.272394 -122.081362,38.272398 -122.081355,38.272401 -122.081348,38.272403 -122.081341,38.272406 -122.081334,38.272409 -122.081327,38.272412 -122.08132,38.272414 -122.081313,38.272417 -122.081306,38.272419 -122.081299,38.272421 -122.081292,38.272423 -122.081284,38.272425 -122.081277,38.272427 -122.08127,38.272429 -122.081263,38.272431 -122.081256,38.272433 -122.081247,38.272434 -122.08124,38.272436 -122.081233,38.272437 -122.081224,38.272438 -122.081217,38.272439 -122.081208,38.27244 -122.081201,38.272441 -122.081194,38.272442 -122.081186,38.272443 -122.081179,38.272444 -122.08117,38.272444 -122.081163,38.272444 -122.081154,38.272445 -122.081147,38.272445 -122.081139,38.272445 -122.081132,38.272445 -122.081125,38.272445</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Angelo Rodriguez High School,18,High,Fairfield-Suisun Unified,5000 Red Top Road,Fairfield,94584,Regular School,Public,6325.13731043000,2182541.63823000020,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.140736,38.198507 -122.140781,38.198468 -122.140801,38.198479 -122.140822,38.198457 -122.140853,38.198424 -122.140883,38.19839 -122.140912,38.198356 -122.14094,38.198321 -122.140968,38.198286 -122.140994,38.19825 -122.141048,38.198179 -122.141072,38.198143 -122.141095,38.198108 -122.141117,38.19807 -122.141136,38.198032 -122.141157,38.197994 -122.141174,38.197955 -122.141192,38.197916 -122.141209,38.197877 -122.141225,38.197838 -122.14124,38.197798 -122.141254,38.197758 -122.141268,38.197719 -122.14128,38.197678 -122.141302,38.197581 -122.141313,38.197541 -122.141323,38.197467 -122.141329,38.197393 -122.141329,38.197389 -122.141329,38.197384 -122.14133,38.19738 -122.14133,38.197375 -122.14133,38.197371 -122.141332,38.197364 -122.141336,38.197357 -122.141336,38.197353 -122.141339,38.197349 -122.141341,38.197344 -122.141343,38.19734 -122.141346,38.197334 -122.141349,38.19733 -122.141351,38.197326 -122.141355,38.197322 -122.141358,38.197318 -122.141362,38.197314 -122.141365,38.197311 -122.141369,38.197307 -122.141372,38.197304 -122.141375,38.197301 -122.141381,38.197297 -122.141384,38.197294 -122.141389,38.197291 -122.141393,38.197288 -122.1414,38.197284 -122.141407,38.197281 -122.141415,38.197277 -122.141421,38.197275 -122.141426,38.197273 -122.141431,38.197271 -122.141436,38.19727 -122.141442,38.197268 -122.141447,38.197267 -122.141455,38.197265 -122.141461,38.197264 -122.141469,38.197263 -122.141478,38.197262 -122.141487,38.197261 -122.141495,38.197261 -122.141504,38.197262 -122.141733,38.19728 -122.141893,38.19729 -122.142055,38.197302 -122.142258,38.197329 -122.142418,38.197346 -122.142577,38.197365 -122.142737,38.197386 -122.142895,38.19741 -122.14303,38.197437 -122.143188,38.197465 -122.143345,38.197495 -122.143502,38.197527 -122.143657,38.197561 -122.143811,38.197597 -122.143965,38.197636 -122.144128,38.197678 -122.144273,38.197718 -122.144425,38.197762 -122.144576,38.197809 -122.144892,38.197905 -122.14548,38.198125 -122.14609,38.198377 -122.146141,38.198399 -122.146191,38.198421 -122.146242,38.198442 -122.146294,38.198462 -122.146346,38.198481 -122.146515,38.198544 -122.146569,38.198562 -122.146623,38.198579 -122.146677,38.198596 -122.146731,38.198612 -122.146785,38.198627 -122.146841,38.198641 -122.146897,38.198654 -122.146951,38.198667 -122.147006,38.198679 -122.147064,38.19869 -122.147119,38.198701 -122.147175,38.19871 -122.147233,38.198719 -122.14729,38.198727 -122.147347,38.198735 -122.14742,38.198748 -122.147533,38.198761 -122.147604,38.198769 -122.147662,38.198772 -122.147719,38.198774 -122.147777,38.198776 -122.147834,38.198777 -122.148029,38.198783 -122.148086,38.198781 -122.148455,38.198758 -122.148507,38.198756 -122.148601,38.198822 -122.148605,38.198861 -122.148704,38.199815 -122.148704,38.199821 -122.148704,38.199828 -122.148703,38.199835 -122.148701,38.199841 -122.148699,38.199848 -122.148698,38.199851 -122.148694,38.199857 -122.148691,38.199864 -122.148687,38.199869 -122.148682,38.199875 -122.148677,38.19988 -122.148673,38.199883 -122.148668,38.199888 -122.148661,38.199892 -122.148654,38.199896 -122.148647,38.1999 -122.14864,38.199903 -122.148633,38.199907 -122.148628,38.199908 -122.148621,38.19991 -122.148614,38.199911 -122.148607,38.199913 -122.1486,38.199914 -122.148595,38.199914 -122.148588,38.199915 -122.148581,38.199915 -122.148572,38.199915 -122.148373,38.199927 -122.14833,38.199931 -122.1483,38.199933 -122.148271,38.199936 -122.148241,38.19994 -122.148212,38.199944 -122.148184,38.199948 -122.148154,38.199953 -122.148125,38.199958 -122.147926,38.199992 -122.147897,38.199999 -122.147869,38.200006 -122.147841,38.200014 -122.147813,38.200023 -122.147785,38.200031 -122.147759,38.20004 -122.147732,38.200049 -122.147705,38.200059 -122.147678,38.200069 -122.147652,38.20008 -122.147626,38.200091 -122.147415,38.200169 -122.143889,38.201557 -122.143882,38.20156 -122.143875,38.201563 -122.143868,38.201566 -122.143861,38.201568 -122.143854,38.20157 -122.143847,38.201571 -122.14384,38.201572 -122.143831,38.201572 -122.143824,38.201572 -122.143817,38.201572 -122.14381,38.201571 -122.143803,38.20157 -122.143797,38.201569 -122.14379,38.201567 -122.143783,38.201564 -122.143776,38.201562 -122.143769,38.201558 -122.143762,38.201554 -122.143756,38.20155 -122.143751,38.201546 -122.143746,38.201542 -122.143743,38.201537 -122.143534,38.201613 -122.143538,38.201619 -122.14354,38.201624 -122.14354,38.20163 -122.143541,38.201635 -122.143541,38.201641 -122.143542,38.201647 -122.14354,38.201653 -122.14354,38.201658 -122.143538,38.201664 -122.143535,38.201669 -122.143533,38.201675 -122.143529,38.20168 -122.143526,38.201685 -122.143522,38.20169 -122.143517,38.201694 -122.143512,38.201699 -122.143507,38.201703 -122.1435,38.201707 -122.143493,38.201711 -122.143486,38.201714 -122.143481,38.201716 -122.142909,38.201939 -122.140736,38.198507</coordinates></LinearRing></outerBoundaryIs></Polygon>"
E. Ruth Sheldon Elementary School,19,Primary,Fairfield-Suisun Unified,1901 Woolner Ave.,Fairfield,94533,Regular School,Public,2446.64827828000,264691.17135700001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.063086,38.245115 -122.063087,38.245021 -122.063162,38.245025 -122.063159,38.244989 -122.063156,38.244952 -122.063144,38.24493 -122.063127,38.244898 -122.063113,38.244875 -122.063277,38.244875 -122.063283,38.244765 -122.063289,38.244585 -122.063321,38.244585 -122.063329,38.244514 -122.063355,38.244517 -122.063364,38.244177 -122.063358,38.244074 -122.062676,38.244079 -122.062685,38.243462 -122.062889,38.243459 -122.063106,38.243463 -122.063301,38.243468 -122.063516,38.243467 -122.063727,38.243471 -122.063929,38.243472 -122.064139,38.243475 -122.064346,38.243476 -122.06442,38.243523 -122.06455,38.243599 -122.064603,38.243619 -122.064606,38.243665 -122.064602,38.243787 -122.064604,38.243935 -122.064603,38.244105 -122.064601,38.244262 -122.0646,38.244435 -122.064594,38.244605 -122.064589,38.244773 -122.064598,38.244941 -122.064602,38.245136 -122.063086,38.245115</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Crystal Middle School,20,Middle,Fairfield-Suisun Unified,400 Whispering Bay Ln.,Suisun City,94585,Regular School,Public,3184.02067555000,656560.66306299996,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.03139,38.241359 -122.031388,38.241157 -122.031387,38.240962 -122.031395,38.240779 -122.031395,38.240584 -122.031404,38.24039 -122.031404,38.240193 -122.031395,38.240006 -122.031397,38.239811 -122.031401,38.239617 -122.031406,38.239422 -122.03141,38.239232 -122.031417,38.239115 -122.031618,38.239115 -122.031828,38.239109 -122.032028,38.239114 -122.032238,38.23911 -122.032461,38.239109 -122.03267,38.239111 -122.032867,38.239113 -122.033078,38.239113 -122.033296,38.239112 -122.033503,38.239122 -122.033874,38.239113 -122.034164,38.239335 -122.034179,38.239354 -122.034192,38.239376 -122.034205,38.239396 -122.034212,38.239417 -122.034216,38.239432 -122.03422,38.239457 -122.034197,38.24134 -122.034194,38.241344 -122.034191,38.24135 -122.034186,38.241356 -122.03418,38.24136 -122.034173,38.241364 -122.034165,38.241365 -122.03139,38.241359</coordinates></LinearRing></outerBoundaryIs></Polygon>"
D.H. White Elementary School,21,Primary,River Delta Joint Unified,500 Elm Way,Rio Vista,94571,Regular School,Public,3167.31147605000,493425.59211500001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.692822,38.165475 -121.692958,38.165367 -121.693021,38.165414 -121.693354,38.165147 -121.694174,38.164515 -121.694214,38.164485 -121.694272,38.16444 -121.694341,38.164388 -121.69438,38.164358 -121.694414,38.164332 -121.69445,38.164318 -121.69448,38.16432 -121.694512,38.164336 -121.694529,38.164362 -121.694539,38.164401 -121.69455,38.164469 -121.694564,38.164527 -121.694594,38.164598 -121.694636,38.164665 -121.69467,38.164724 -121.694713,38.16478 -121.69476,38.164827 -121.694805,38.164872 -121.694867,38.164916 -121.694917,38.164954 -121.694974,38.164989 -121.695026,38.165019 -121.695083,38.165047 -121.695143,38.165064 -121.695228,38.165092 -121.695332,38.165114 -121.695424,38.16513 -121.695502,38.16514 -121.695596,38.165144 -121.695689,38.165141 -121.695774,38.165135 -121.695847,38.165129 -121.695949,38.165111 -121.696019,38.165092 -121.696109,38.16506 -121.696197,38.165023 -121.696254,38.164994 -121.696305,38.164962 -121.696335,38.164955 -121.696362,38.164954 -121.696392,38.164959 -121.696674,38.16518 -121.696684,38.165188 -121.696618,38.165239 -121.696612,38.165243 -121.696605,38.165248 -121.696601,38.165251 -121.695007,38.166489 -121.69497,38.166517 -121.694407,38.166963 -121.693283,38.166115 -121.693278,38.166099 -121.69327,38.16608 -121.693249,38.166056 -121.693218,38.166028 -121.6929,38.165781 -121.692879,38.165735 -121.692871,38.165708 -121.692858,38.165687 -121.692854,38.165676 -121.692843,38.165659 -121.692838,38.165642 -121.692836,38.165621 -121.692836,38.165603 -121.692842,38.165582 -121.692851,38.165562 -121.692863,38.165544 -121.692875,38.16553 -121.692887,38.165518 -121.692822,38.165475</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Riverview Middle School,22,Middle,River Delta Joint Unified,525 S. Second St.,Rio Vista,94571,Regular School,Public,2581.32251425000,313277.24692100001,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.69328,38.151533 -121.693275,38.151532 -121.693185,38.151753 -121.692194,38.151477 -121.69226,38.151299 -121.692334,38.151113 -121.692418,38.150895 -121.692499,38.150695 -121.692569,38.150477 -121.69258,38.150453 -121.692625,38.150366 -121.693586,38.150622 -121.693932,38.150711 -121.693937,38.150713 -121.693944,38.150715 -121.693949,38.150716 -121.695013,38.150983 -121.695079,38.150997 -121.695121,38.151006 -121.695098,38.151052 -121.695081,38.151097 -121.694963,38.151433 -121.694677,38.15219 -121.693806,38.151962 -121.693904,38.151736 -121.693812,38.151714 -121.693807,38.151713 -121.69368,38.151684 -121.693545,38.151653 -121.693568,38.151599 -121.693394,38.151561 -121.69328,38.151533</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Orchard Elementary School,23,Primary,Vacaville Unified,805 N. Orchard Ave.,Vacaville,95688,Regular School,Public,3106.69802882000,469689.90453000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.004223,38.379158 -122.004246,38.378812 -122.00407,38.378628 -122.003773,38.378497 -122.003299,38.378391 -122.002901,38.378365 -122.002697,38.378273 -122.002512,38.378175 -122.002439,38.377896 -122.002353,38.377735 -122.002001,38.377293 -122.002174,38.377198 -122.002503,38.376954 -122.002511,38.37684 -122.002518,38.376616 -122.002522,38.376366 -122.002522,38.376328 -122.002673,38.376332 -122.002925,38.376335 -122.003176,38.376337 -122.003429,38.37634 -122.003664,38.376343 -122.003923,38.376346 -122.004175,38.376349 -122.004446,38.376354 -122.00448,38.376354 -122.00444,38.379114 -122.004409,38.379139 -122.004372,38.379165 -122.004223,38.379158</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Will C. Wood High School,24,High,Vacaville Unified,998 Marshall Road,Vacaville,95687,Regular School,Public,5377.66012478000,1770839.74710000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.978931,38.348791 -121.977875,38.348895 -121.977645,38.348884 -121.977259,38.34887 -121.976434,38.348864 -121.976273,38.348865 -121.976147,38.348787 -121.976069,38.348641 -121.975957,38.348457 -121.975576,38.347911 -121.975019,38.347134 -121.974523,38.346362 -121.974519,38.346356 -121.974514,38.346345 -121.974512,38.346334 -121.974512,38.346322 -121.974516,38.346311 -121.974521,38.346301 -121.97453,38.346291 -121.974539,38.346283 -121.974551,38.346276 -121.975877,38.345648 -121.977057,38.345127 -121.977234,38.345035 -121.977361,38.344965 -121.977498,38.344879 -121.977728,38.344705 -121.977882,38.344566 -121.977933,38.344505 -121.97813,38.344627 -121.978296,38.344731 -121.978455,38.344819 -121.978617,38.344917 -121.978771,38.345008 -121.97884,38.345049 -121.978878,38.345122 -121.978933,38.345269 -121.978995,38.345429 -121.979094,38.345558 -121.979183,38.345715 -121.979255,38.34587 -121.979329,38.346027 -121.979342,38.346054 -121.979396,38.346172 -121.979419,38.346214 -121.979437,38.346252 -121.979483,38.346341 -121.979517,38.346422 -121.979546,38.346476 -121.979582,38.346532 -121.979621,38.346574 -121.97967,38.346645 -121.979714,38.34671 -121.979752,38.346763 -121.979779,38.346802 -121.979805,38.346837 -121.979815,38.346851 -121.97984,38.346884 -121.979893,38.346945 -121.979926,38.346996 -121.97996,38.347042 -121.979996,38.347085 -121.980043,38.347154 -121.980083,38.347206 -121.980107,38.347236 -121.9802,38.347379 -121.980313,38.347543 -121.980424,38.347677 -121.980522,38.347811 -121.980598,38.347922 -121.980675,38.348034 -121.980744,38.348117 -121.980706,38.348182 -121.980614,38.348337 -121.980506,38.348513 -121.98041,38.348697 -121.980315,38.348886 -121.980229,38.349039 -121.97941,38.348665 -121.978931,38.348791</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Rio Vista High School,25,High,River Delta Joint Unified,410 S. 4th St.,Rio Vista,94571,Regular School,Public,5246.47860349000,1221745.60079000010,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.698832,38.157575 -121.698841,38.157568 -121.698887,38.157536 -121.698908,38.157521 -121.699003,38.15744 -121.698713,38.157218 -121.698604,38.157151 -121.698103,38.156752 -121.69767,38.156402 -121.697172,38.156003 -121.697556,38.1557 -121.69755,38.155696 -121.697405,38.15558 -121.697243,38.155525 -121.69712,38.155491 -121.697073,38.155481 -121.697167,38.155321 -121.696742,38.155202 -121.696572,38.155254 -121.696233,38.155154 -121.696205,38.155146 -121.696368,38.154763 -121.696393,38.154711 -121.696428,38.154633 -121.696468,38.154545 -121.696503,38.154467 -121.696535,38.1544 -121.696554,38.154357 -121.696623,38.154188 -121.696655,38.154119 -121.696682,38.154051 -121.696725,38.153962 -121.696759,38.153887 -121.696787,38.153802 -121.697255,38.153933 -121.697243,38.15396 -121.699773,38.155305 -121.701503,38.156192 -121.70193,38.157069 -121.701796,38.157175 -121.70165,38.157288 -121.701509,38.157401 -121.701355,38.157517 -121.701207,38.157634 -121.701102,38.157716 -121.701058,38.157749 -121.700908,38.157867 -121.700708,38.158022 -121.70064,38.158076 -121.700563,38.158136 -121.70042,38.158255 -121.70028,38.158368 -121.700201,38.158429 -121.700134,38.158483 -121.700015,38.158568 -121.698844,38.157586 -121.698832,38.157575</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Vacaville High School,26,High,Vacaville Unified,100 West Monte Vista Ave.,Vacaville,95688,Regular School,Public,5267.83755602000,1578288.46355000000,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.99737,38.361745 -121.997177,38.361744 -121.997036,38.361747 -121.996988,38.361748 -121.996965,38.361749 -121.996803,38.361743 -121.996627,38.361739 -121.996429,38.361737 -121.996242,38.361733 -121.996078,38.361736 -121.995877,38.361731 -121.995696,38.361729 -121.995509,38.361722 -121.995329,38.361719 -121.995329,38.361732 -121.995133,38.361732 -121.994957,38.361731 -121.994757,38.361729 -121.99458,38.361726 -121.99438,38.361726 -121.994204,38.361716 -121.994005,38.36171 -121.993821,38.361707 -121.993644,38.361709 -121.993451,38.361709 -121.993275,38.361706 -121.993079,38.361703 -121.992901,38.3617 -121.9927,38.361697 -121.992524,38.361695 -121.992476,38.361693 -121.992487,38.36153 -121.992492,38.361395 -121.992501,38.361256 -121.992501,38.361093 -121.992501,38.360933 -121.992504,38.3608 -121.992506,38.360648 -121.992507,38.360507 -121.992507,38.360355 -121.992511,38.360215 -121.992514,38.360052 -121.992518,38.359915 -121.99252,38.359757 -121.992521,38.359623 -121.992523,38.359473 -121.99253,38.359327 -121.992527,38.35915 -121.992548,38.359162 -121.992676,38.359163 -121.992975,38.359167 -121.994685,38.359185 -121.99694,38.359188 -121.996972,38.359188 -121.997034,38.359189 -121.998463,38.359216 -121.998462,38.359389 -121.998466,38.359531 -121.998465,38.359677 -121.998459,38.359825 -121.998456,38.359965 -121.998455,38.360115 -121.998457,38.360258 -121.998457,38.3604 -121.998448,38.360552 -121.998448,38.360693 -121.998449,38.360837 -121.998443,38.360973 -121.998441,38.36114 -121.998435,38.361293 -121.998435,38.361419 -121.998437,38.361589 -121.998429,38.361756 -121.997931,38.361756 -121.997736,38.361754 -121.997546,38.361749 -121.99737,38.361745</coordinates></LinearRing></outerBoundaryIs></Polygon>"
